path,name,rounds,agents,model,uncooperative_count,show_full_revenue,show_full_rankings,pieces_per_agent,total_pieces,has_analysis,analysis,system_type
logs/simulation_20250816_195427,simulation_20250816_195427,10,10,o3,0,False,False,4,40,True,"{'timestamp': '2025-08-18T23:47:26.467703', 'simulation_id': 'simulation_20250816_195427', 'configuration': {'total_rounds': 10, 'num_agents': 10, 'uncooperative_count': 0, 'task_completion_revenue': 10000, 'incorrect_value_penalty': 0.3, 'max_actions_per_turn': -1}, 'metrics': {'total_tasks_completed': 7, 'agent_revenue_ranking': [{'rank': 1, 'agent_id': 'agent_5', 'revenue': 19275, 'tasks_completed': 2}, {'rank': 2, 'agent_id': 'agent_4', 'revenue': 9475, 'tasks_completed': 1}, {'rank': 3, 'agent_id': 'agent_6', 'revenue': 7850, 'tasks_completed': 1}, {'rank': 4, 'agent_id': 'agent_1', 'revenue': 7675, 'tasks_completed': 1}, {'rank': 5, 'agent_id': 'agent_2', 'revenue': 7350, 'tasks_completed': 1}, {'rank': 6, 'agent_id': 'agent_10', 'revenue': 6350, 'tasks_completed': 1}, {'rank': 7, 'agent_id': 'agent_8', 'revenue': 0, 'tasks_completed': 0}, {'rank': 8, 'agent_id': 'agent_3', 'revenue': 0, 'tasks_completed': 0}, {'rank': 9, 'agent_id': 'agent_7', 'revenue': 0, 'tasks_completed': 0}, {'rank': 10, 'agent_id': 'agent_9', 'revenue': 0, 'tasks_completed': 0}], 'revenue_distribution': {'gini_coefficient': 0.5228, 'interpretation': 'Very high inequality', 'min_revenue': 0, 'max_revenue': 19275, 'mean_revenue': 5797.5, 'median_revenue': 6850.0, 'std_dev': 6146.94}, 'task_completions_by_round': [{'round': 1, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 0}, {'round': 2, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 0}, {'round': 3, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 0}, {'round': 4, 'tasks_completed_this_round': 1, 'cumulative_tasks_completed': 1}, {'round': 5, 'tasks_completed_this_round': 1, 'cumulative_tasks_completed': 2}, {'round': 6, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 2}, {'round': 7, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 2}, {'round': 8, 'tasks_completed_this_round': 1, 'cumulative_tasks_completed': 3}, {'round': 9, 'tasks_completed_this_round': 2, 'cumulative_tasks_completed': 5}, {'round': 10, 'tasks_completed_this_round': 2, 'cumulative_tasks_completed': 7}], 'total_revenue_by_round': [{'round': 1, 'revenue_this_round': 0, 'cumulative_revenue': 0, 'average_revenue_per_agent': 0}, {'round': 2, 'revenue_this_round': 0, 'cumulative_revenue': 0, 'average_revenue_per_agent': 0}, {'round': 3, 'revenue_this_round': 0, 'cumulative_revenue': 0, 'average_revenue_per_agent': 0}, {'round': 4, 'revenue_this_round': 9350.0, 'cumulative_revenue': 9350.0, 'average_revenue_per_agent': 935.0}, {'round': 5, 'revenue_this_round': 7350.0, 'cumulative_revenue': 16700.0, 'average_revenue_per_agent': 1670.0}, {'round': 6, 'revenue_this_round': 0, 'cumulative_revenue': 16700.0, 'average_revenue_per_agent': 1670.0}, {'round': 7, 'revenue_this_round': 0, 'cumulative_revenue': 16700.0, 'average_revenue_per_agent': 1670.0}, {'round': 8, 'revenue_this_round': 7850.0, 'cumulative_revenue': 24550.0, 'average_revenue_per_agent': 2455.0}, {'round': 9, 'revenue_this_round': 16275.0, 'cumulative_revenue': 40825.0, 'average_revenue_per_agent': 4082.5}, {'round': 10, 'revenue_this_round': 17150.0, 'cumulative_revenue': 57975.0, 'average_revenue_per_agent': 5797.5}], 'agents_with_zero_revenue': {'count': 4, 'agents': ['agent_8', 'agent_3', 'agent_7', 'agent_9'], 'percentage': 40.0}, 'communication_efficiency': {'messages_per_completed_task': 70.14, 'total_messages': 491, 'total_tasks_completed': 7, 'message_breakdown': {'direct': 437, 'broadcast': 54}}, 'negotiation_cycle_time': {'average_negotiation_cycle_time': 3.37, 'median_cycle_time': 2, 'min_cycle_time': 0, 'max_cycle_time': 9, 'successful_negotiations': 41, 'failed_requests': 45, 'success_rate': 47.67}, 'information_leverage': {'top_transferred_information': [{'information_piece': 'Customer segment 35 analysis', 'times_transferred': 7}, {'information_piece': 'Customer segment 14 analysis', 'times_transferred': 4}, {'information_piece': 'Region 9 market data', 'times_transferred': 4}, {'information_piece': 'Customer segment 30 analysis', 'times_transferred': 4}, {'information_piece': 'Department 23 budget', 'times_transferred': 3}, {'information_piece': 'Department 22 budget', 'times_transferred': 3}, {'information_piece': 'Q28 sales data', 'times_transferred': 3}, {'information_piece': 'Customer segment 33 analysis', 'times_transferred': 3}, {'information_piece': 'Product 1 performance metrics', 'times_transferred': 3}, {'information_piece': 'Product 39 performance metrics', 'times_transferred': 3}], 'average_transfers_per_piece': 2.22, 'max_transfers_single_piece': 7, 'total_unique_pieces_transferred': 37, 'total_transfers': 82}, 'network_hub_analysis': {'network_hubs': [{'agent_id': 'agent_6', 'messages_received': 108, 'messages_sent': 41, 'total_activity': 149}, {'agent_id': 'agent_2', 'messages_received': 100, 'messages_sent': 34, 'total_activity': 134}, {'agent_id': 'agent_5', 'messages_received': 97, 'messages_sent': 40, 'total_activity': 137}, {'agent_id': 'agent_4', 'messages_received': 93, 'messages_sent': 36, 'total_activity': 129}, {'agent_id': 'agent_7', 'messages_received': 91, 'messages_sent': 44, 'total_activity': 135}], 'messages_received_per_agent': {'agent_3': 86, 'agent_5': 97, 'agent_9': 72, 'agent_1': 62, 'agent_2': 100, 'agent_4': 93, 'agent_6': 108, 'agent_7': 91, 'agent_10': 81, 'agent_8': 68}, 'messages_sent_per_agent': {'agent_8': 49, 'agent_2': 34, 'agent_5': 40, 'agent_3': 46, 'agent_4': 36, 'agent_7': 44, 'agent_9': 49, 'agent_10': 51, 'agent_1': 36, 'agent_6': 41}, 'most_contacted_agent': ['agent_6', 108], 'most_active_sender': ['agent_10', 51]}}}",closed
logs/simulation_20250818_142932,simulation_20250818_142932,10,10,o3,0,False,False,4,40,True,"{'timestamp': '2025-08-18T23:47:26.715540', 'simulation_id': 'simulation_20250818_142932', 'configuration': {'total_rounds': 10, 'num_agents': 10, 'uncooperative_count': 0, 'task_completion_revenue': 10000, 'incorrect_value_penalty': 0.5, 'max_actions_per_turn': -1}, 'metrics': {'total_tasks_completed': 14, 'agent_revenue_ranking': [{'rank': 1, 'agent_id': 'agent_9', 'revenue': 22025, 'tasks_completed': 2}, {'rank': 2, 'agent_id': 'agent_6', 'revenue': 16649, 'tasks_completed': 2}, {'rank': 3, 'agent_id': 'agent_3', 'revenue': 16000, 'tasks_completed': 2}, {'rank': 4, 'agent_id': 'agent_8', 'revenue': 11850, 'tasks_completed': 2}, {'rank': 5, 'agent_id': 'agent_2', 'revenue': 10300, 'tasks_completed': 1}, {'rank': 6, 'agent_id': 'agent_1', 'revenue': 10225, 'tasks_completed': 1}, {'rank': 7, 'agent_id': 'agent_7', 'revenue': 8300, 'tasks_completed': 1}, {'rank': 8, 'agent_id': 'agent_10', 'revenue': 7500, 'tasks_completed': 1}, {'rank': 9, 'agent_id': 'agent_4', 'revenue': 6775, 'tasks_completed': 1}, {'rank': 10, 'agent_id': 'agent_5', 'revenue': 6600, 'tasks_completed': 1}], 'revenue_distribution': {'gini_coefficient': 0.2247, 'interpretation': 'Low inequality', 'min_revenue': 6600, 'max_revenue': 22025, 'mean_revenue': 11622.4, 'median_revenue': 10262.5, 'std_dev': 5089.77}, 'task_completions_by_round': [{'round': 1, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 0}, {'round': 2, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 0}, {'round': 3, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 0}, {'round': 4, 'tasks_completed_this_round': 2, 'cumulative_tasks_completed': 2}, {'round': 5, 'tasks_completed_this_round': 2, 'cumulative_tasks_completed': 4}, {'round': 6, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 4}, {'round': 7, 'tasks_completed_this_round': 1, 'cumulative_tasks_completed': 5}, {'round': 8, 'tasks_completed_this_round': 4, 'cumulative_tasks_completed': 9}, {'round': 9, 'tasks_completed_this_round': 2, 'cumulative_tasks_completed': 11}, {'round': 10, 'tasks_completed_this_round': 3, 'cumulative_tasks_completed': 14}], 'total_revenue_by_round': [{'round': 1, 'revenue_this_round': 0, 'cumulative_revenue': 0, 'average_revenue_per_agent': 0}, {'round': 2, 'revenue_this_round': 0, 'cumulative_revenue': 0, 'average_revenue_per_agent': 0}, {'round': 3, 'revenue_this_round': 0, 'cumulative_revenue': 0, 'average_revenue_per_agent': 0}, {'round': 4, 'revenue_this_round': 17199.0, 'cumulative_revenue': 17199.0, 'average_revenue_per_agent': 1719.9}, {'round': 5, 'revenue_this_round': 19200.0, 'cumulative_revenue': 36399.0, 'average_revenue_per_agent': 3639.9}, {'round': 6, 'revenue_this_round': 0, 'cumulative_revenue': 36399.0, 'average_revenue_per_agent': 3639.9}, {'round': 7, 'revenue_this_round': 10225.0, 'cumulative_revenue': 46624.0, 'average_revenue_per_agent': 4662.4}, {'round': 8, 'revenue_this_round': 29500.0, 'cumulative_revenue': 76124.0, 'average_revenue_per_agent': 7612.4}, {'round': 9, 'revenue_this_round': 15450.0, 'cumulative_revenue': 91574.0, 'average_revenue_per_agent': 9157.4}, {'round': 10, 'revenue_this_round': 24650.0, 'cumulative_revenue': 116224.0, 'average_revenue_per_agent': 11622.4}], 'agents_with_zero_revenue': {'count': 0, 'agents': [], 'percentage': 0.0}, 'communication_efficiency': {'messages_per_completed_task': 32.71, 'total_messages': 458, 'total_tasks_completed': 14, 'message_breakdown': {'direct': 407, 'broadcast': 51}}, 'negotiation_cycle_time': {'average_negotiation_cycle_time': 2.86, 'median_cycle_time': 2.0, 'min_cycle_time': 0, 'max_cycle_time': 9, 'successful_negotiations': 44, 'failed_requests': 23, 'success_rate': 65.67}, 'information_leverage': {'top_transferred_information': [{'information_piece': 'Q24 sales data', 'times_transferred': 7}, {'information_piece': 'Department 37 budget', 'times_transferred': 6}, {'information_piece': 'Region 29 market data', 'times_transferred': 5}, {'information_piece': 'Region 25 market data', 'times_transferred': 5}, {'information_piece': 'Department 12 budget', 'times_transferred': 4}, {'information_piece': 'Q26 sales data', 'times_transferred': 4}, {'information_piece': 'Product 28 performance metrics', 'times_transferred': 4}, {'information_piece': 'Department 15 budget', 'times_transferred': 4}, {'information_piece': 'Department 33 budget', 'times_transferred': 4}, {'information_piece': 'Customer segment 6 analysis', 'times_transferred': 4}], 'average_transfers_per_piece': 2.75, 'max_transfers_single_piece': 7, 'total_unique_pieces_transferred': 36, 'total_transfers': 99}, 'network_hub_analysis': {'network_hubs': [{'agent_id': 'agent_6', 'messages_received': 92, 'messages_sent': 33, 'total_activity': 125}, {'agent_id': 'agent_3', 'messages_received': 86, 'messages_sent': 41, 'total_activity': 127}, {'agent_id': 'agent_8', 'messages_received': 86, 'messages_sent': 34, 'total_activity': 120}, {'agent_id': 'agent_4', 'messages_received': 84, 'messages_sent': 47, 'total_activity': 131}, {'agent_id': 'agent_9', 'messages_received': 83, 'messages_sent': 28, 'total_activity': 111}], 'messages_received_per_agent': {'agent_4': 84, 'agent_6': 92, 'agent_3': 86, 'agent_5': 67, 'agent_7': 72, 'agent_1': 69, 'agent_8': 86, 'agent_9': 83, 'agent_10': 67, 'agent_2': 71}, 'messages_sent_per_agent': {'agent_10': 38, 'agent_2': 34, 'agent_3': 41, 'agent_7': 37, 'agent_8': 34, 'agent_5': 36, 'agent_1': 41, 'agent_4': 47, 'agent_9': 28, 'agent_6': 33}, 'most_contacted_agent': ['agent_6', 92], 'most_active_sender': ['agent_4', 47]}}}",closed
logs/simulation_20250814_175725,simulation_20250814_175725,10,10,o3-mini-2025-01-31,2,False,False,4,40,False,,closed
logs/simulation_20250725_121038,simulation_20250725_121038,20,5,o3-mini-2025-01-31,0,False,True,4,40,False,,open
logs/simulation_20250713_211042,simulation_20250713_211042,10,5,gpt-4.1-mini-2025-04-14,0,False,False,4,20,False,,closed
logs/simulation_20250815_153820,simulation_20250815_153820,10,10,o3-mini-2025-01-31,0,False,False,4,40,True,"{'timestamp': '2025-08-18T23:47:26.372691', 'simulation_id': 'simulation_20250815_153820', 'configuration': {'total_rounds': 10, 'num_agents': 10, 'uncooperative_count': 0, 'task_completion_revenue': 10000, 'incorrect_value_penalty': 0.3, 'max_actions_per_turn': -1}, 'metrics': {'total_tasks_completed': 33, 'agent_revenue_ranking': [{'rank': 1, 'agent_id': 'agent_4', 'revenue': 35025, 'tasks_completed': 4}, {'rank': 2, 'agent_id': 'agent_9', 'revenue': 34275, 'tasks_completed': 4}, {'rank': 3, 'agent_id': 'agent_6', 'revenue': 29974, 'tasks_completed': 4}, {'rank': 4, 'agent_id': 'agent_7', 'revenue': 26299, 'tasks_completed': 3}, {'rank': 5, 'agent_id': 'agent_2', 'revenue': 25125, 'tasks_completed': 3}, {'rank': 6, 'agent_id': 'agent_1', 'revenue': 24550, 'tasks_completed': 3}, {'rank': 7, 'agent_id': 'agent_5', 'revenue': 23550, 'tasks_completed': 3}, {'rank': 8, 'agent_id': 'agent_8', 'revenue': 21825, 'tasks_completed': 3}, {'rank': 9, 'agent_id': 'agent_10', 'revenue': 20975, 'tasks_completed': 3}, {'rank': 10, 'agent_id': 'agent_3', 'revenue': 20774, 'tasks_completed': 3}], 'revenue_distribution': {'gini_coefficient': 0.1033, 'interpretation': 'Very low inequality', 'min_revenue': 20774, 'max_revenue': 35025, 'mean_revenue': 26237.2, 'median_revenue': 24837.5, 'std_dev': 5207.99}, 'task_completions_by_round': [{'round': 1, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 0}, {'round': 2, 'tasks_completed_this_round': 4, 'cumulative_tasks_completed': 4}, {'round': 3, 'tasks_completed_this_round': 6, 'cumulative_tasks_completed': 10}, {'round': 4, 'tasks_completed_this_round': 2, 'cumulative_tasks_completed': 12}, {'round': 5, 'tasks_completed_this_round': 6, 'cumulative_tasks_completed': 18}, {'round': 6, 'tasks_completed_this_round': 3, 'cumulative_tasks_completed': 21}, {'round': 7, 'tasks_completed_this_round': 1, 'cumulative_tasks_completed': 22}, {'round': 8, 'tasks_completed_this_round': 3, 'cumulative_tasks_completed': 25}, {'round': 9, 'tasks_completed_this_round': 5, 'cumulative_tasks_completed': 30}, {'round': 10, 'tasks_completed_this_round': 3, 'cumulative_tasks_completed': 33}], 'total_revenue_by_round': [{'round': 1, 'revenue_this_round': 0, 'cumulative_revenue': 0, 'average_revenue_per_agent': 0}, {'round': 2, 'revenue_this_round': 29999.0, 'cumulative_revenue': 29999.0, 'average_revenue_per_agent': 2999.9}, {'round': 3, 'revenue_this_round': 43400.0, 'cumulative_revenue': 73399.0, 'average_revenue_per_agent': 7339.9}, {'round': 4, 'revenue_this_round': 18275.0, 'cumulative_revenue': 91674.0, 'average_revenue_per_agent': 9167.4}, {'round': 5, 'revenue_this_round': 47449.0, 'cumulative_revenue': 139123.0, 'average_revenue_per_agent': 13912.3}, {'round': 6, 'revenue_this_round': 23725.0, 'cumulative_revenue': 162848.0, 'average_revenue_per_agent': 16284.8}, {'round': 7, 'revenue_this_round': 10400.0, 'cumulative_revenue': 173248.0, 'average_revenue_per_agent': 17324.8}, {'round': 8, 'revenue_this_round': 24249.0, 'cumulative_revenue': 197497.0, 'average_revenue_per_agent': 19749.7}, {'round': 9, 'revenue_this_round': 39550.0, 'cumulative_revenue': 237047.0, 'average_revenue_per_agent': 23704.7}, {'round': 10, 'revenue_this_round': 25325.0, 'cumulative_revenue': 262372.0, 'average_revenue_per_agent': 26237.2}], 'agents_with_zero_revenue': {'count': 0, 'agents': [], 'percentage': 0.0}, 'communication_efficiency': {'messages_per_completed_task': 6.7, 'total_messages': 221, 'total_tasks_completed': 33, 'message_breakdown': {'direct': 221}}, 'negotiation_cycle_time': {'average_negotiation_cycle_time': 0.71, 'median_cycle_time': 1.0, 'min_cycle_time': 0, 'max_cycle_time': 3, 'successful_negotiations': 56, 'failed_requests': 2, 'success_rate': 96.55}, 'information_leverage': {'top_transferred_information': [{'information_piece': 'Department 13 budget', 'times_transferred': 6}, {'information_piece': 'Region 31 market data', 'times_transferred': 6}, {'information_piece': 'Region 1 market data', 'times_transferred': 5}, {'information_piece': 'Customer segment 33 analysis', 'times_transferred': 4}, {'information_piece': 'Customer segment 15 analysis', 'times_transferred': 4}, {'information_piece': 'Customer segment 27 analysis', 'times_transferred': 4}, {'information_piece': 'Region 32 market data', 'times_transferred': 4}, {'information_piece': 'Region 39 market data', 'times_transferred': 4}, {'information_piece': 'Product 11 performance metrics', 'times_transferred': 4}, {'information_piece': 'Product 34 performance metrics', 'times_transferred': 4}], 'average_transfers_per_piece': 2.87, 'max_transfers_single_piece': 6, 'total_unique_pieces_transferred': 38, 'total_transfers': 109}, 'network_hub_analysis': {'network_hubs': [{'agent_id': 'agent_2', 'messages_received': 28, 'messages_sent': 20, 'total_activity': 48}, {'agent_id': 'agent_1', 'messages_received': 20, 'messages_sent': 13, 'total_activity': 33}, {'agent_id': 'agent_9', 'messages_received': 15, 'messages_sent': 8, 'total_activity': 23}, {'agent_id': 'agent_7', 'messages_received': 13, 'messages_sent': 14, 'total_activity': 27}, {'agent_id': 'agent_3', 'messages_received': 13, 'messages_sent': 13, 'total_activity': 26}], 'messages_received_per_agent': {'agent_7': 13, 'agent_6': 8, 'agent_5': 8, 'agent_3': 13, 'agent_8': 8, 'agent_1': 20, 'agent_2': 28, 'agent_9': 15, 'agent_4': 9, 'agent_10': 13}, 'messages_sent_per_agent': {'agent_8': 15, 'agent_9': 8, 'agent_3': 13, 'agent_1': 13, 'agent_4': 10, 'agent_5': 13, 'agent_10': 14, 'agent_7': 14, 'agent_6': 15, 'agent_2': 20}, 'most_contacted_agent': ['agent_2', 28], 'most_active_sender': ['agent_2', 20]}}}",closed
logs/simulation_20250818_180554,simulation_20250818_180554,10,10,o3-mini-2025-01-31,0,True,False,8,40,True,"{'timestamp': '2025-08-18T23:47:26.790502', 'simulation_id': 'simulation_20250818_180554', 'configuration': {'total_rounds': 10, 'num_agents': 10, 'uncooperative_count': 0, 'task_completion_revenue': 10000, 'incorrect_value_penalty': 0.5, 'max_actions_per_turn': -1}, 'metrics': {'total_tasks_completed': 33, 'agent_revenue_ranking': [{'rank': 1, 'agent_id': 'agent_10', 'revenue': 37813, 'tasks_completed': 5}, {'rank': 2, 'agent_id': 'agent_7', 'revenue': 34875, 'tasks_completed': 5}, {'rank': 3, 'agent_id': 'agent_3', 'revenue': 28000, 'tasks_completed': 3}, {'rank': 4, 'agent_id': 'agent_4', 'revenue': 25463, 'tasks_completed': 3}, {'rank': 5, 'agent_id': 'agent_5', 'revenue': 24324, 'tasks_completed': 3}, {'rank': 6, 'agent_id': 'agent_2', 'revenue': 23375, 'tasks_completed': 3}, {'rank': 7, 'agent_id': 'agent_9', 'revenue': 22350, 'tasks_completed': 3}, {'rank': 8, 'agent_id': 'agent_8', 'revenue': 22175, 'tasks_completed': 3}, {'rank': 9, 'agent_id': 'agent_6', 'revenue': 21400, 'tasks_completed': 3}, {'rank': 10, 'agent_id': 'agent_1', 'revenue': 14350, 'tasks_completed': 2}], 'revenue_distribution': {'gini_coefficient': 0.1357, 'interpretation': 'Very low inequality', 'min_revenue': 14350, 'max_revenue': 37813, 'mean_revenue': 25412.5, 'median_revenue': 23849.5, 'std_dev': 6779.75}, 'task_completions_by_round': [{'round': 1, 'tasks_completed_this_round': 0, 'cumulative_tasks_completed': 0}, {'round': 2, 'tasks_completed_this_round': 4, 'cumulative_tasks_completed': 4}, {'round': 3, 'tasks_completed_this_round': 6, 'cumulative_tasks_completed': 10}, {'round': 4, 'tasks_completed_this_round': 2, 'cumulative_tasks_completed': 12}, {'round': 5, 'tasks_completed_this_round': 4, 'cumulative_tasks_completed': 16}, {'round': 6, 'tasks_completed_this_round': 4, 'cumulative_tasks_completed': 20}, {'round': 7, 'tasks_completed_this_round': 2, 'cumulative_tasks_completed': 22}, {'round': 8, 'tasks_completed_this_round': 1, 'cumulative_tasks_completed': 23}, {'round': 9, 'tasks_completed_this_round': 8, 'cumulative_tasks_completed': 31}, {'round': 10, 'tasks_completed_this_round': 2, 'cumulative_tasks_completed': 33}], 'total_revenue_by_round': [{'round': 1, 'revenue_this_round': 0, 'cumulative_revenue': 0, 'average_revenue_per_agent': 0}, {'round': 2, 'revenue_this_round': 26863.0, 'cumulative_revenue': 26863.0, 'average_revenue_per_agent': 2686.3}, {'round': 3, 'revenue_this_round': 44374.0, 'cumulative_revenue': 71237.0, 'average_revenue_per_agent': 7123.7}, {'round': 4, 'revenue_this_round': 15875.0, 'cumulative_revenue': 87112.0, 'average_revenue_per_agent': 8711.2}, {'round': 5, 'revenue_this_round': 31300.0, 'cumulative_revenue': 118412.0, 'average_revenue_per_agent': 11841.2}, {'round': 6, 'revenue_this_round': 31450.0, 'cumulative_revenue': 149862.0, 'average_revenue_per_agent': 14986.2}, {'round': 7, 'revenue_this_round': 13388.0, 'cumulative_revenue': 163250.0, 'average_revenue_per_agent': 16325.0}, {'round': 8, 'revenue_this_round': 9550.0, 'cumulative_revenue': 172800.0, 'average_revenue_per_agent': 17280.0}, {'round': 9, 'revenue_this_round': 66000.0, 'cumulative_revenue': 238800.0, 'average_revenue_per_agent': 23880.0}, {'round': 10, 'revenue_this_round': 15325.0, 'cumulative_revenue': 254125.0, 'average_revenue_per_agent': 25412.5}], 'agents_with_zero_revenue': {'count': 0, 'agents': [], 'percentage': 0.0}, 'communication_efficiency': {'messages_per_completed_task': 6.0, 'total_messages': 198, 'total_tasks_completed': 33, 'message_breakdown': {'direct': 198}}, 'negotiation_cycle_time': {'average_negotiation_cycle_time': 0.6, 'median_cycle_time': 0.0, 'min_cycle_time': 0, 'max_cycle_time': 4, 'successful_negotiations': 42, 'failed_requests': 5, 'success_rate': 89.36}, 'information_leverage': {'top_transferred_information': [{'information_piece': 'Product 31 performance metrics', 'times_transferred': 6}, {'information_piece': 'Product 8 performance metrics', 'times_transferred': 5}, {'information_piece': 'Customer segment 36 analysis', 'times_transferred': 5}, {'information_piece': 'Region 30 market data', 'times_transferred': 5}, {'information_piece': 'Q35 sales data', 'times_transferred': 4}, {'information_piece': 'Department 21 budget', 'times_transferred': 4}, {'information_piece': 'Region 34 market data', 'times_transferred': 4}, {'information_piece': 'Region 19 market data', 'times_transferred': 4}, {'information_piece': 'Customer segment 37 analysis', 'times_transferred': 4}, {'information_piece': 'Region 27 market data', 'times_transferred': 4}], 'average_transfers_per_piece': 2.75, 'max_transfers_single_piece': 6, 'total_unique_pieces_transferred': 36, 'total_transfers': 99}, 'network_hub_analysis': {'network_hubs': [{'agent_id': 'agent_2', 'messages_received': 24, 'messages_sent': 13, 'total_activity': 37}, {'agent_id': 'agent_10', 'messages_received': 23, 'messages_sent': 9, 'total_activity': 32}, {'agent_id': 'agent_1', 'messages_received': 18, 'messages_sent': 12, 'total_activity': 30}, {'agent_id': 'agent_3', 'messages_received': 16, 'messages_sent': 13, 'total_activity': 29}, {'agent_id': 'agent_7', 'messages_received': 13, 'messages_sent': 10, 'total_activity': 23}], 'messages_received_per_agent': {'agent_10': 23, 'agent_1': 18, 'agent_2': 24, 'agent_7': 13, 'agent_5': 7, 'agent_3': 16, 'agent_9': 2, 'agent_4': 13, 'agent_8': 4, 'agent_6': 2}, 'messages_sent_per_agent': {'agent_7': 10, 'agent_8': 12, 'agent_3': 13, 'agent_9': 12, 'agent_4': 12, 'agent_2': 13, 'agent_6': 14, 'agent_5': 15, 'agent_10': 9, 'agent_1': 12}, 'most_contacted_agent': ['agent_2', 24], 'most_active_sender': ['agent_5', 15]}}}",open
logs/simulation_20250724_163551,simulation_20250724_163551,20,10,o3-mini-2025-01-31,0,False,True,4,40,False,,open
logs/simulation_20250813_165538,simulation_20250813_165538,10,10,o3-mini-2025-01-31,0,False,True,8,80,False,,open
logs/simulation_20250731_172326,simulation_20250731_172326,10,10,o3-mini-2025-01-31,0,False,True,4,40,False,,open
logs/simulation_20250811_123438,simulation_20250811_123438,10,10,o3-mini-2025-01-31,0,False,True,4,40,False,,open
logs/simulation_20250811_164139,simulation_20250811_164139,20,10,o3-mini-2025-01-31,0,False,False,4,40,False,,closed
